Mon Apr  5 19:13:09 2021    output.prof

         253110579 function calls (246500929 primitive calls) in 208.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1216/1    0.031    0.000  208.646  208.646 {built-in method builtins.exec}
        1    0.000    0.000  208.646  208.646 DTL.py:1(<module>)
        1    0.000    0.000  207.196  207.196 DTL.py:171(main)
    467/1    0.010    0.000  207.171  207.171 DTL.py:98(build_tree)
      233    0.034    0.000  206.221    0.885 DTL.py:82(choose_attr)
    38384    0.388    0.000  205.487    0.005 DTL.py:66(info_gain)
     2563    0.511    0.000  193.554    0.076 DTL.py:19(select_threshold)
   110256    2.406    0.000  155.023    0.001 DTL.py:39(info_entropy)
   599923    3.219    0.000  133.647    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/frame.py:2866(__getitem__)
   298680    1.396    0.000  115.131    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/frame.py:2923(_getitem_bool_array)
    38384    0.198    0.000  104.756    0.003 DTL.py:55(remainder)
   298680    1.025    0.000   90.783    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:3346(_take_with_is_copy)
   298680    1.932    0.000   82.287    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:3249(take)
   298680    2.909    0.000   77.802    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:1394(take)
   298680    0.755    0.000   67.134    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/ops/common.py:50(new_method)
   298680    1.095    0.000   64.874    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/ops/__init__.py:359(wrapper)
   298680    1.243    0.000   59.324    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:1208(reindex_indexer)
   298680    1.023    0.000   55.329    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:1251(<listcomp>)
   597360    2.699    0.000   54.107    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1233(take_nd)
   597360    6.607    0.000   46.048    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/algorithms.py:1586(take_nd)
   298680    1.358    0.000   35.745    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:2728(_construct_result)
373585/373584    2.964    0.000   33.144    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:201(__init__)
   298680    3.293    0.000   21.952    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:194(comparison_op)
   298680    0.729    0.000   20.457    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexing.py:2153(check_bool_indexer)
42989504/42989503   11.856    0.000   18.986    0.000 {built-in method builtins.isinstance}
   298680    1.843    0.000   14.717    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexers.py:348(check_array_indexer)
   597360    4.176    0.000   14.366    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/algorithms.py:1457(_get_take_nd_function)
